"query","search interest","increase percent"
"cloud computing services",4,"Breakout"
"best meal delivery services",1,"Breakout"
"the",100,"130%"
"music distribution services",14,"50%"
"warehousing distribution services",5,"-80%"
"warehousing and distribution services",3,"-80%"
