"query","search interest","increase percent"
"precision animal farming",12,"Breakout"
"google scholar",10,"Breakout"
"precision farming sales",7,"Breakout"
"precision farming service",6,"Breakout"
"smart farming",89,"170%"
"precision agriculture",100,"100%"
"precision livestock farming",39,"80%"
"precision farming adalah",94,"10%"
