"query","search interest","increase percent"
"the",100,"130%"
"music distribution services",14,"50%"
"warehousing distribution services",5,"-80%"
"cloud computing services",4,"Breakout"
"warehousing and distribution services",3,"-80%"
"best meal delivery services",1,"Breakout"
