"query","search interest","increase percent"
"the",100,"160%"
"power pack",38,"-20%"
"industrial power supply",35,"60%"
"power pack industrial solution",33,"-30%"
"pt power pack industrial solution",22,"-30%"
"industrial power socket",6,"20%"
"what is a power of attorney",2,"Breakout"
