"query","search interest","increase percent"
"contract manufacturing adalah",100,"-20%"
"what is contract manufacturing",87,"300%"
"contract manufacturing companies",65,"5%"
"medical contract manufacturing",39,"-40%"
"toll manufacturing",37,"9%"
"pharmaceutical contract manufacturing",27,"-10%"
"medical device contract manufacturing",18,"-40%"
"electronic contract manufacturing",9,"-60%"
"toll manufacturing vs contract manufacturing",7,"-70%"
"full service contract manufacturing",4,"Breakout"
