"query","search interest","increase percent"
"asuransi properti adalah",100,"80%"
"asuransi adalah",99,"90%"
"properti adalah",99,"80%"
"perusahaan asuransi",65,"70%"
"contoh asuransi",45,"30%"
"asuransi jiwa",42,"30%"
"asuransi kendaraan",37,"90%"
"asuransi kesehatan",33,"40%"
"jenis jenis asuransi",31,"30%"
"produk asuransi",26,"120%"
