"query","search interest","increase percent"
"linkedin learning",17,"Breakout"
"machine learning algorithms",6,"Breakout"
"machine learning models",5,"Breakout"
"deep learning tutorials",2,"Breakout"
"machine learning",100,"70%"
"enterprise learning management",70,"-6%"
"enterprise resource planning",18,"-50%"
"enterprise learning management systems",9,"-60%"
"enterprise learning management system",13,"-70%"
