"query","search interest","increase percent"
"insurance for employee",100,"120%"
"employee health insurance",82,"-30%"
"employee benefits insurance",48,"160%"
"employee life insurance",30,"40%"
"employee benefit insurance",22,"80%"
"employee benefit",21,"50%"
"employee medical insurance",20,"130%"
"employee accident insurance",7,"100%"
"small business employee health insurance",2,"-90%"
"cheap car insurance quotes",1,"Breakout"
