"query","search interest","increase percent"
"machine learning",100,"70%"
"enterprise learning management",70,"-6%"
"enterprise resource planning",18,"-50%"
"linkedin learning",17,"Breakout"
"enterprise learning management system",13,"-70%"
"enterprise learning management systems",9,"-60%"
"machine learning algorithms",6,"Breakout"
"machine learning models",5,"Breakout"
"deep learning tutorials",2,"Breakout"
