"query","search interest","increase percent"
"leased line providers uk",1,"Breakout"
"what is a leased line",4,"500%"
"what is leased line",9,"250%"
"perangkat wan",30,"120%"
"wan adalah",46,"80%"
"leased line network",21,"80%"
"isdn",14,"50%"
"leased line adalah",100,"40%"
"circuit switching",12,"20%"
"leased line connection",8,"6%"
"dedicated leased line",7,"2%"
"pengertian leased line",31,"-9%"
"leased line broadband",5,"-20%"
"internet leased line",46,"-30%"
