"query","search interest","increase percent"
"transaksi yang mengakibatkan perubahan akun harta dan harta adalah",4,"Breakout"
"klinik pratama",44,"70%"
"perusahaan jasa",79,"30%"
"klinik kecantikan",100,"10%"
